time,url,time spent on this reel,EEG.AF3,EEG.T7,EEG.Pz,EEG.AF4,label,Label
17:43:23,https://www.instagram.com/reels/DH0zSAlRKvQ/,3.0,4224.814025908854,4233.514615390624,4078.298952080729,4210.785597526042,Neutral,Neutral
17:43:26,https://www.instagram.com/reels/DH6HnQypfTq/,11.0,4233.67032868537,4237.08005490483,4082.613182773438,4220.624272456676,Sad,Sad
17:43:37,https://www.instagram.com/reels/DH4Pl9WzLTR/,38.0,4233.850927934622,4235.202880781045,4080.867622795436,4221.700140832032,neutral,Neutral
17:44:15,https://www.instagram.com/reels/DICFp9FvPww/,0.0,,,,,Funny,Funny
17:44:15,https://www.instagram.com/reels/DH4Pl9WzLTR/,10.0,4232.219254510156,4236.650647179687,4077.408959599219,4221.4695577890625,Funny,Funny
17:44:25,https://www.instagram.com/reels/DICFp9FvPww/,8.0,4231.481498266601,4229.284853950196,4077.687051070313,4220.4902882802735,Neutral,Neutral
17:44:33,https://www.instagram.com/reels/DIBsbzvxFdB/,0.0,,,,,Interested,Interested
17:44:33,https://www.instagram.com/reels/DICFp9FvPww/,0.0,,,,,Interested,Interested
17:44:33,https://www.instagram.com/reels/DIBsbzvxFdB/,12.0,4238.253704414713,4247.744393530599,4079.885063333984,4221.19064936849,Interested,Interested
17:44:45,https://www.instagram.com/reels/DICPZ-By24u/,7.0,4220.4940828928575,4211.973875590402,4079.5053539542414,4221.898612723214,Funny,Funny
17:44:52,https://www.instagram.com/reels/DFWb_3juj0t/,12.0,4230.170942979166,4232.004710546876,4078.4790666985677,4219.521653029948,Excited,Excited
17:45:04,https://www.instagram.com/reels/DH_tvQnzAu-/,22.0,4233.202991073864,4236.372512590554,4081.6798697432528,4223.066083419744,Neutral,Neutral
17:45:26,https://www.instagram.com/reels/DEGhxexyfOj/,13.0,4229.1310661237985,4227.361009320312,4078.0907165967556,4218.184473513221,Neutral,Neutral
17:45:39,https://www.instagram.com/reels/DE5mJlCMZTc/,9.0,4231.239991517362,4233.278802254341,4080.503253087673,4219.143187231771,Sad,Sad
17:45:48,https://www.instagram.com/reels/DB-iLUWANTj/,7.0,4230.328519574777,4231.38750459375,4079.6733371183036,4221.149271311384,Neutral,Neutral
17:45:55,https://www.instagram.com/reels/DHyn0JVMhcK/,18.0,4236.556097700087,4239.912699621961,4087.2694061249995,4223.872749344184,Sad,Sad
